title,ingredients,url
Indisk laks med karripoteter,"600 gr Laksefilet i stykker; 1 ss Ingefær, revet; 1 ts Hvitløk, finrevet; 1 stk Rød chili, finhakket; 1 stk Løk, skåret i tynne skiver; 6 stk Store poteter, i skiver; 1 neve Fersk koriander til pynt; 0.5 stk Moden mango, skåret i terninger; 3 ss Nøytral olje  (solsikke); 3 ts Karripulver; 1 klype Salt og pepper; 1 stk Agurk; 0.5 dl Eddik; 1 dl Sukker; 2 dl Vann",https://www.rema.no/oppskrifter/fisk/laks/indisk-laks-med-karripoteter/
Pølseform med potet og sprø parmesan,1 Pølsegryte; 500 gr Mandelpoteter; 0.5 potte Basilikum; 2 fedd Hvitløk; 2 skive Loff*; 30 gr Revet parmesan,https://www.rema.no/oppskrifter/svin/polser/polseform-med-potet-og-spro-parmesan/
Rullekake med nugattikrem,"4 stk Egg; 2 ss Kakao; 2 dl Sukker; 50 gr Smør, smeltet; 2 dl Hvetemel; 1 ts Bakepulver; 1 ss Solsikkeolje, til bakepapiret; 1 stk Egg; 150 gr Nugatti eller nutella; 150 gr Smør, mykt; 100 gr Melis; 100 gr Hasselnøtter; 50 gr Sukker",https://www.rema.no/oppskrifter/bakst/kaker/rullekake-med-nugattikrem/
Fylt pitabrød med røkt laks og egg,"4 stk Pitabrød; 325 gr Varmrøkt laks; 4 stk Egg; 0.5 stk Agurk, i skiver; 1 Syltet rødløk på boks  (eller se oppskrift under); 12 stk Cherrytomater, delt i to; 1 dl Yoghurt naturell eller rømme; 2 ss Ketchup; 1 ts Dijonsennep; 1 neve Frisk koriander; 1 klype Salt og pepper",https://www.rema.no/oppskrifter/fisk/laks/fylt-pitabrod-med-rokt-laks-og-egg/
"Taco med scampi, maiskrem og salsa","12 stk Taco tubs; 340 gr Mais  (1 stor boks); 2 ss Rømme; 0.5 stk Lime, saften; 1 Tacokrydder; 500 gr Rå scampi, uten skall; 1 stk Rød chili, i skiver; 1 stk Grønn chili, i skiver; 2 stk Lime, i båter; 1 klype Salt og pepper; 2 ss Nøytral olje; 1 boks Hakkede tomater; 1 potte Fersk koriander; 1 stk Liten løk; 0.5 stk Lime, saften; 0.5 ts Spisskummen; 0.3 ts Salt; 1 ss Eplecidereddik; 2 ss Olivenolje",https://www.rema.no/oppskrifter/skalldyr/scampi/taco-med-scampi-maiskrem-og-salsa/
Kyllingschnitzel med nudelsalat,"1 Glassnudler eller risnudler; 480 gr Kyllingfilet, delt; 1 dl Tørket kokosmasse; 2 stk Egg; 1 stk Rød paprika, i strimler; 2 stk Gulrøtter, skrelt og skåret i skiver; 1 Babymais, delt i to på langs; 1 dl Hvetemel; 1 ts Salt; 0.5 ts Pepper; 3 dl Solsikkeolje; 1 stk Rød chili, skåret i skiver; 1 ts Fersk ingefær, revet; 1 ts Honning; 1 fedd Hvitløk, presset; 4 ss Soyasaus; 1 stk Lime, saft; 1 neve Frisk koriander; 4 ss Vann",https://www.rema.no/oppskrifter/kylling-og-hons/kyllingfilet/kyllingschnitzel-med-nudelsalat/
Ostekake med Oreo og bær,"2 pk Oreokjeks; 2 stk Gelatinplater; 4 cl Melk; 250 gr Kremost naturell; 2 dl Kremfløte; 250 gr Ferske bær (f.eks jordbær, bringebær og blåbær); 100 gr Melis",https://www.rema.no/oppskrifter/dessert-og-bakst/frukt-og-baer/ostekake-med-oreo-og-bar/
Grillet pepperlaks med sommerkålsalat,"2 pk Laksefilet  (800 g); 2 stk Sitroner; 600 gr Nypoteter; 0.5 dl Olivenolje; 2 ts Salt; 2 ss Knust sort pepper; 1 stk Sommerkål, hode; 2 dl Kefir eller yoghurt naturell; 1 ss Sitronsaft; 1 stk Chili; 1 ss Sukker; 1 ts Salt",https://www.rema.no/oppskrifter/fisk/laks/grillet-pepperlaks-med-sommerkalsalat/
Grillede grønnsaker med vinaigrette,"1 stk Squash; 1 stk Aubergine; 2 stk Paprika; 1 bunt Asparges; 4 fedd Hvitløk; 1 dl Olivenolje; 2 ts Flaksalt; 1 klype Kvernet sort pepper; 1 ss Grov sennep; 1 dl Urter, som gressløk, timian, dill, persille; 0.5 dl Hvitvinseddik; 1.5 dl Olivenolje; 1 klype Salt og pepper",https://www.rema.no/oppskrifter/gronnsaker/grillede-gronnsaker-med-vinaigrette/
Torsk med gulrotmos og eggesmør,4 stk Torskefilet; 6 stk Gulrøtter; 2 ss Appelsinjuice; 2 ss Smør; 1 klype Salt og pepper; 2 ss Flatbladet persille; 2 stk Egg; 150 gr Smør,https://www.rema.no/oppskrifter/fisk/torsk/torsk-med-gulrotmos-og-eggesmor/
Grateng med grønnsaker og bacon,"250 gr Makaroni; 500 gr Wokmiks; 100 gr Revet ost; 2 dl Cornflakes, lettknuste; 100 gr Bacon, i strimler; 3 stk Egg; 3 dl Matfløte; 1 klype Salt og pepper",https://www.rema.no/oppskrifter/gronnsaker/grateng-med-gronnsaker-og-bacon/
Pastasalat med reker,"2 dl Pastaskruer  (ferdigkokt); 0.5 stk Mango; 100 gr Reker; 2 dl Babyspinat; 0.3 stk Agurk; 1 neve Spirer; 0.5 dl Lettrømme; 1 dl Hvitløk; 1 ss Hakkede urter (for eksempel persille, basilikum eller mynte); 3 Sitronsaft; 0.5 ts Sriracha eller chilisaus; 1 klype Salt og pepper",https://www.rema.no/oppskrifter/pasta/pastasalat-med-reker/
Enkel lapskaus med skinke på boks,500 gr Bogskinke; 2 stk Løk; 2 stk Gulrot; 200 gr Sellerirot; 400 gr Poteter; 1 stk Purreløk; 1 stk Kjøttbuljong  (og kraften fra skinkeboksen); 1 dl Flatpersille; 2 ss Smør; 7 dl Vann; 1 ts Salt; 1 klype Kvernet sort pepper,https://www.rema.no/oppskrifter/svin/enkel-lapskaus-med-skinke-pa-boks/
Pytt i panne med grønnsaker og egg,"300 gr Poteter; 200 gr Gulrot; 200 gr Sellerirot; 200 gr Pastinakkrot; 2 stk Løk; 4 fedd Hvitløk, hakket; 1 ss Fersk timian, hakket; 8 stk Egg; 0.5 dl Sesamfrø; 50 gr Smør; 0.5 dl Vann; 1 ss Salt; 1 klype Kvernet sort pepper; 2 ss Smør",https://www.rema.no/oppskrifter/gronnsaker/pytt-i-panne-med-gronnsaker-og-egg/
Gratinert taco med strimlet svin,"4 stk Nakkekoteletter av svin; 8 stk Tacoskjell; 2 ts Paprikapulver; 2 ts Oregano; 2 ts Hvitløkspulver; 2 ts Spisskummen; 1 stk Lime, saft; 2 stk Paprika; 1 stk Gul løk; 2 fedd Hvitløk; 1 stk Rød chili; 200 gr Revet cheddar eller annen ost; 0.5 stk Isbergsalat; 1 stk Rømme  (til servering); 1 Tacosaus; 1 ss Nøytral olje til steking; 1 ts Salt",https://www.rema.no/oppskrifter/svin/koteletter/gratinert-taco-med-strimlet-svin/
Meksikansk ceviche med torsk,"400 gr Torskefilet, uten skinn og bein; 3 stk Lime, saft; 1 stk Avokado; 1 stk Mango; 1 stk Rødløk; 0.5 stk Agurk; 1 stk Grønn chili; 1 neve Fersk koriander; 1 ts Hot sauce  (f.eks Tabasco); 1 Tortillachips; 3 ts Salt",https://www.rema.no/oppskrifter/fisk/torsk/meksikansk-ceviche-med-torsk/
Hjemmelaget indisk butter chicken,"600 gr Lårfilet eller strimler av kylling; 3 dl Kefir; 1 ts Ingefær, finrevet; 2 fedd Hvitløk, presset; 0.5 stk Limesaft; 1 ts Flaksalt; 1 ts Gurkemeie; 0.3 ts Chilipulver; 1 ts Malt koriander; 1 stk Løk; 1 Hakkede tomater; 1 ts Ingefær; 1 fedd Hvitløk; 0.5 ts Malt spisskummen; 1 ts Garam masala (eller karripulver); 1 ts Malt paprika; 0.5 dl Kefir; 100 gr Smør; 1 klype Salt; 0.3 ts Chilipulver; 1 ts Malt koriander; 1 neve Fersk koriander; 4 dl Basmatiris; 50 gr Cashewnøtter  (valgfritt); 4 stk Naanbrød",https://www.rema.no/oppskrifter/kylling-og-hons/kyllinglar/hjemmelaget-indisk-butter-chicken/
Salat med rotfrukt og grønnkål,1 pose Grønnkål  (Ferdig Preppa fra REMA 1000); 4 stk Medium store beter  (gjerne røde og gule); 100 gr Sellerirot; 4 stk Små poteter; 50 gr Gresskarkjerner; 50 gr Hasselnøtter; 2 ts Honning; 5 ss Extra virgin olivenolje; 1 ss Eplecidereddik; 1 klype Salt og pepper,https://www.rema.no/oppskrifter/gronnsaker/salat-med-rotfrukt-og-gronnkal/
Sorbet av frosne druer,1 pk Grønne eller røde druer; 2 ss Sitronjuice; 1 neve Mandler eller mynte  (valgfritt),https://www.rema.no/oppskrifter/dessert-og-bakst/is-og-sorbet/sorbet-av-frosne-druer/
Bløtkake med bringebær,4 stk Egg; 4 dl Sukker; 4 dl Finbakstmel; 1 ts Bakepulver; 5 dl Melk; 1 stk Vaniljestang; 4 stk Eggeplommer; 35 gr Maisennastivelse; 3 stk Gelatinplater; 3 dl Kremfløte; 100 gr Sukker; 800 gr Friske bringebær; 200 gr Mandler; 100 gr Sukker,https://www.rema.no/oppskrifter/bakst/kaker/blotkake-med-bringebar/
Rørte bær,250 gr Bær  (friske eller frosne); 3 ss Melis  (eller sukker),https://www.rema.no/oppskrifter/baer/rorte-bar/
Grønn minestronesuppe,1 stk Løk; 2 stk Potet; 2 stk Gulrot; 1 stk Squash; 100 gr Erter; 200 gr Spinat; 1 neve Basilikum; 100 gr Parmesan; 1 klype Salt; 1 ss Olivenolje; 1 klype Pepper,https://www.rema.no/oppskrifter/gronnsaker/gronn-minestronesuppe/
Vinaigrette med grønnsaker: «Sauce vierge»,1 dl Sjalottløk  (hakket); 1 fedd Hvitløk  (hakket); 1 stk Gulrot  (finskåret i terninger); 1 dl Olivenolje; 2 ss Sitronsaft; 1 dl Gressløk  (finhakket); 2 ss Vann; 1 klype Salt; 1 klype Pepper,https://www.rema.no/oppskrifter/saus-dressing-og-dipp/gronnsaksvinaigrette-sauce-vierge/
Rømmedressing med sitron og dill,1 stk Rømme eller crème fraîche; 2 ss Sitronsaft; 1 dl Dill  (finhakket); 1 ts Sukker; 0.5 ts Salt; 1 klype Kvernet pepper,https://www.rema.no/oppskrifter/saus-dressing-og-dipp/rommedressing-med-sitron-og-dill/
Polarbrødsandwich med pepperbiff,4 stk Ytrefilet; 4 stk Polarbrød; 100 gr Tomater; 1 ts Salt; 2 ts Pepper  (grovknust); 2 ss Solsikkeolje; 300 gr Hvitkål; 1 stk Gulrot; 1 stk Grønt eple; 2 ss Syltede agurker  (finhakkede); 0.5 dl Majones; 0.5 dl Creme fraiche; 1 ss Sitron  (sitronsaft); 1 ss Sukker; 1 ss H.P sauce; 1 klype Salt; 1 klype Pepper,https://www.rema.no/oppskrifter/biff/ytrefilet/polarbrodsandwich-med-pepperbiff/
Asiatisk kyllingtaco i salatblad,"400 gr Kyllingkjøttdeig; 1 stk Rød paprika; 1 stk Grønn chili, finhakket; 1 ts Finrevet ingefær; 2 ss Sesamolje; 1 ts Fiskesaus  (kan sløyfes); 2 ss Nøytral olje; 1 stk Romanosalat; 4 ss Hakkede peanøtter; 0.5 potte Fersk koriander; 0.5 stk Agurk",https://www.rema.no/oppskrifter/kylling-og-hons/asiatisk-kyllingtaco-i-salatblad/
Grønn salat med bulgur,1 boks Bulgur; 1 pose Baby Leaf-salat; 3 ss Gresskarkjerner; 1 stk Agurk; 1 potte Bladpersille; 1 stk Avokado; 6 ss Olivenolje; 1 fedd Hvitløk; 2 ss Sitronsaft; 1 klype Salt; 1 klype Pepper,https://www.rema.no/oppskrifter/gronnsaker/gronn-salat-med-bulgur/
Ciabatta med kyllingstuing,"4 stk Ciabatta, halvstekt; 300 gr Kyllingfilet, rå eller stekt; 2 ss Olivenolje; 1 dl Løk, hakket; 2 fedd Hvitløk; 1 ss Rød chili, hakket; 1 ts Timian, eller rosmarin; 0.5 boks Hakkede tomater; 0 klype Salt og pepper; 4 skive Gulost; 2 stk Avokado",https://www.rema.no/oppskrifter/kylling-og-hons/kyllingfilet/ciabatta-med-kyllingstuing/
